Total,TimeBin,Women,Men,ESH,ESF,SEH,SEF,V1H,V1F,V2H,V2F,V3H,V3F,V4H,V4F
0,300 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,315 min,0,2,0,0,2,0,0,0,0,0,0,0,0,0
5,330 min,0,5,1,0,2,0,2,0,0,0,0,0,0,0
6,345 min,0,6,0,0,6,0,0,0,0,0,0,0,0,0
6,360 min,0,6,0,0,5,0,1,0,0,0,0,0,0,0
11,375 min,0,11,0,0,7,0,4,0,0,0,0,0,0,0
11,390 min,3,8,0,0,6,3,2,0,0,0,0,0,0,0
9,405 min,2,7,0,0,4,2,3,0,0,0,0,0,0,0
15,420 min,2,13,0,0,9,0,4,2,0,0,0,0,0,0
9,435 min,0,9,0,0,7,0,1,0,1,0,0,0,0,0
19,450 min,4,15,0,0,11,4,3,0,1,0,0,0,0,0
29,465 min,2,27,0,0,18,1,9,1,0,0,0,0,0,0
28,480 min,8,20,0,0,13,5,4,3,3,0,0,0,0,0
34,495 min,5,29,1,0,14,4,13,1,1,0,0,0,0,0
37,510 min,4,33,1,0,17,2,11,2,4,0,0,0,0,0
41,525 min,4,37,1,0,22,4,8,0,6,0,0,0,0,0
55,540 min,13,42,0,1,19,7,17,4,2,1,4,0,0,0
71,555 min,14,57,0,0,32,10,20,4,4,0,1,0,0,0
63,570 min,12,51,0,0,25,7,19,2,5,3,2,0,0,0
64,585 min,17,47,0,0,28,8,11,8,8,0,0,1,0,0
68,600 min,18,50,2,0,24,13,19,4,4,0,1,1,0,0
75,615 min,14,61,2,0,25,7,20,3,11,3,3,1,0,0
59,630 min,16,43,1,0,17,7,15,5,9,4,1,0,0,0
84,645 min,31,53,1,0,26,13,16,15,9,2,1,1,0,0
50,660 min,18,32,0,0,17,10,8,5,7,3,0,0,0,0
55,675 min,16,39,0,0,18,9,13,4,7,3,1,0,0,0
69,690 min,15,54,0,0,20,8,25,6,9,1,0,0,0,0
53,705 min,11,42,0,0,17,3,14,1,6,6,4,1,1,0
56,720 min,15,41,1,0,12,6,15,8,8,1,5,0,0,0
37,735 min,14,23,0,0,9,6,7,5,5,3,2,0,0,0
41,750 min,13,28,0,0,11,7,9,3,6,3,2,0,0,0
38,765 min,15,23,1,0,6,4,6,7,7,4,2,0,1,0
33,780 min,12,21,0,0,7,5,8,2,4,2,1,3,1,0
28,795 min,14,14,0,0,4,7,3,4,5,2,2,1,0,0
32,810 min,16,16,0,0,3,9,7,3,3,4,3,0,0,0
11,825 min,3,8,0,0,1,0,4,1,3,2,0,0,0,0
6,840 min,1,5,0,0,3,0,1,1,0,0,0,0,1,0
5,855 min,2,3,0,0,1,1,0,1,1,0,0,0,1,0
2,870 min,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,885 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,900 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
