Cat. Arrivée Tps cumulé Diff.
V2H 18/08 18:30:44 10:26:45 6:05:19
V1F 18/08 18:34:40 10:30:41 6:09:15
V1H 18/08 18:43:08 10:39:09 6:17:43
V2F 18/08 18:44:16 10:40:17 6:18:51
V3H 18/08 18:44:53 10:40:54 6:19:28
SEH 18/08 18:48:05 10:44:06 6:22:40
SEH 18/08 18:49:37 10:45:38 6:24:12
SEH 18/08 18:49:40 10:45:41 6:24:15
V3H 18/08 18:55:38 10:51:39 6:30:13
V2F 18/08 18:57:56 10:53:57 6:32:31
SEH 18/08 19:04:25 11:00:26 6:39:00
V3H 18/08 19:07:04 11:03:05 6:41:39
V2F 18/08 19:07:16 11:03:17 6:41:51
V2F 18/08 19:09:31 11:05:32 6:44:06
V1H 18/08 19:11:20 11:07:21 6:45:55
V3H 18/08 19:18:13 11:14:14 6:52:48
V1H 18/08 19:21:42 11:17:43 6:56:17
V1H 18/08 19:22:20 11:18:21 6:56:55
V3H 18/08 19:24:43 11:20:44 6:59:18
V3H 18/08 19:35:12 11:31:13 7:09:47
V1F 18/08 19:40:22 11:36:23 7:14:57
V1F 18/08 19:56:32 11:52:33 7:31:07
